parse-tree | sentence
parse-tree | semantic-analysis
natural-language-processing | nlp
natural-language-processing | machine-translation
structure | sentence
machine-learning | semantic-space
text | sentence
nlp | natural-language-processing
sentence | parse-tree
sentence | text
sentence | word
information-retrieval | stanford-university
contextual-information | semantic-analysis
computer-science | stanford-university
speech-recognition | machine-learning
speech-recognition | semantic-structure
speech-recognition | machine-translation
natural-language-generation | information-retrieval
natural-language | text
natural-language | semantic-analysis
natural-language | language
noun-phrase | sentence
noun-phrase | semantic-analysis
noun-phrase | verb-phrase
semantic-analysis | parse-tree
grammatical-structure | different-approach
machine-translation | natural-language-processing
machine-translation | machine-learning
machine-translation | information-retrieval
further-processing | text-segmentation
word | sentence
human-language | stanford-university
syntactic-relation | semantic-space
language | text
verb-phrase | parse-tree
verb-phrase | sentence
verb-phrase | noun-phrase
