stem | word
computer-science | stanford-university
text | sentence
speech-recognition | machine-translation
speech-recognition | semantic-structure
speech-recognition | semantic-analysis
speech-recognition | machine-learning
machine-translation | machine-learning
machine-translation | natural-language-processing
grammatical-structure | different-approach
meaning | word
information-retrieval | stanford-university
language | text
word | sentence
natural-language | text
natural-language | language
natural-language | semantic-analysis
structure | sentence
parse-tree | sentence
parse-tree | semantic-analysis
further-processing | text-segmentation
natural-language-generation | information-retrieval
noun-phrase | sentence
noun-phrase | semantic-analysis
noun-phrase | verb-phrase
syntactic-relation | semantic-space
sentence | text
sentence | word
sentence | parse-tree
human-language | stanford-university
semantic-analysis | parse-tree
machine-learning | semantic-space
verb-phrase | parse-tree
verb-phrase | noun-phrase
verb-phrase | sentence
nlp | natural-language-processing
contextual-information | semantic-analysis
natural-language-processing | machine-translation
natural-language-processing | nlp
